time;dt;imu_reseted;gps_position_received;initial_heading;gps_x;gps_y;gps_speed;gps_says_robot_moving;moving_motors;om_gauche;om_droit;meca_position_measure_received;meca_fiab;meca_position_x;meca_position_y;meca_velocity_x;visu_position_measure_received;visu_fiab;visu_position_x;visu_position_y;visu_velocity_measure_received;visu_velocity_x;visu_velocity_y;imu_accel_measure_received;accel_mss_x;accel_mss_y;imu_theta_received;imu_theta;imu_yaw_velocity;kalman_position_x;kalman_position_y
1471008700421;0.01;0.0;0;2.481634;0.0;0.0;1.706;1;1;63;42;0;1.0;6.863573;-1.040442;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.952554;-0.036899;6.413647;-1.011525
1471008700431;0.01;0.0;0;2.481634;0.0;0.0;1.706;1;1;63;41;0;1.0;6.863573;-1.040442;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.951981;-0.057327;6.415476;-1.008894
1471008700441;0.01;0.0;0;2.481634;0.0;0.0;1.706;1;1;63;41;0;1.0;6.863573;-1.040442;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.951455;-0.052579;6.41729;-1.006289
1471008700451;0.01;0.0;0;2.481634;0.0;0.0;1.706;1;1;63;41;0;1.0;6.863573;-1.040442;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.951194;-0.026104;6.419105;-1.003686
1471008700461;0.01;0.0;0;2.481634;0.0;0.0;1.706;1;1;63;41;0;1.0;6.880639;-1.016439;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.95057;-0.062411;6.42092;-1.001082
1471008700471;0.01;0.0;0;2.481634;0.0;0.0;1.706;1;1;63;41;0;1.0;6.880639;-1.016439;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.949916;-0.065371;6.422738;-0.99848
1471008700481;0.01;0.0;0;2.481634;0.0;0.0;1.706;1;1;63;36;0;1.0;6.880639;-1.016439;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.949554;-0.036195;6.424557;-0.995879
1471008700491;0.01;0.0;0;2.481634;0.0;0.0;1.706;1;1;63;36;0;1.0;6.880639;-1.016439;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.948861;-0.069312;6.426289;-0.993404
1471008700501;0.01;0.0;0;2.481634;0.0;0.0;1.706;1;1;63;36;0;1.0;6.880639;-1.016439;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.9485;-0.03615;6.428023;-0.99093
1471008700511;0.01;0.0;0;2.481634;0.0;0.0;1.706;1;1;63;36;0;1.0;6.880639;-1.016439;0.0001;0;0.783951;7.231105;-1.427939;0;0.0001;0.0001;0.0;0.0;0.0;1;0.947875;-0.062462;6.429758;-0.988456
