time,dt,meca_position_measure_received,meca_position_x,meca_position_y,visu_position_measure_received,visu_position_x,visu_position_y,visu_velocity_measure_received,visu_velocity_x,visu_velocity_y,imu_accel_measure_received,accel_mss_x,accel_mss_y,imu_theta_measure_received,imu_theta,kalman_position_x,kalman_position_y
1466779695128,0.01,0,-0.058904,0.0,0,-0.003944,-0.002473,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,2.1e-05
1466779695138,0.01,0,-0.058904,0.0,0,-0.003944,-0.002473,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,2.2e-05
1466779695149,0.011,0,-0.058904,0.0,0,-0.003944,-0.002473,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,2.3e-05
1466779695158,0.009,0,-0.058904,0.0,0,-0.003944,-0.002473,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,2.4e-05
1466779695168,0.01,0,-0.058904,0.0,0,-0.003944,-0.002473,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,2.5e-05
1466779695178,0.01,0,-0.058904,0.0,0,-0.003944,-0.002473,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,2.6e-05
1466779695196,0.018,0,-0.058904,0.0,0,-0.003944,-0.002473,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,2.8e-05
1466779695203,0.007,0,-0.058904,0.0,0,-0.003944,-0.002473,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,2.9e-05
1466779695210,0.007,0,-0.058904,0.0,0,-0.003944,-0.002473,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,3e-05
1466779695219,0.009,0,-0.058904,0.0,0,-0.003944,-0.002473,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,3.1e-05
1466779695228,0.009,0,-0.058904,0.0,0,-0.003944,-0.002473,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,3.2e-05
1466779695238,0.01,0,-0.058904,0.0,0,-0.003944,-0.002473,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,3.3e-05
1466779695248,0.01,0,-0.058904,0.0,1,-0.005596,-0.002803,1,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,3.3e-05
1466779695259,0.011,0,-0.058904,0.0,0,-0.005596,-0.002803,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,3.4e-05
1466779695268,0.009,0,-0.058904,0.0,0,-0.005596,-0.002803,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,3.5e-05
1466779695278,0.01,0,-0.058904,0.0,0,-0.005596,-0.002803,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,3.6e-05
1466779695288,0.01,0,-0.058904,0.0,0,-0.005596,-0.002803,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,3.7e-05
1466779695298,0.01,0,-0.058904,0.0,0,-0.005596,-0.002803,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,3.8e-05
1466779695308,0.01,0,-0.058904,0.0,0,-0.005596,-0.002803,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,3.9e-05
1466779695318,0.01,0,-0.058904,0.0,0,-0.005596,-0.002803,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,4e-05
1466779695328,0.01,0,-0.058904,0.0,0,-0.005596,-0.002803,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,4.1e-05
1466779695338,0.01,0,-0.058904,0.0,1,-0.005465,-0.002053,1,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,4.2e-05
1466779695348,0.01,0,-0.058904,0.0,0,-0.005465,-0.002053,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,4.3e-05
1466779695358,0.01,0,-0.058904,0.0,0,-0.005465,-0.002053,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,4.4e-05
1466779695368,0.01,0,-0.058904,0.0,0,-0.005465,-0.002053,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,4.5e-05
